STRING,INTEGER,INTEGER,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,INTEGER,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,INTEGER,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING
EXPNAME,SUBJECT,SESSION,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,LOG_LEVEL,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,LOG_LEVEL,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
ExperimentName,Subject,Session,Chronos.BoxInfo,Clock.Information,DataFile.Basename,Display.RefreshRate,ExperimentVersion,Group,RandomSeed,RuntimeCapabilities,RuntimeVersion,RuntimeVersionExpected,SessionDate,SessionStartDateTimeUtc,SessionTime,StudioVersion,Block,Arrow,AttenList,AttenList.Cycle,AttenList.Sample,AudioFile[Block],Babys_side,FamList,FamList.Cycle,FamList.Sample,KeyResp1RESP[Block],KeyResp1RT[Block],KeyResp2RESP[Block],KeyResp2RT[Block],KeyResp3RESP[Block],KeyResp3RT[Block],KeyResp4RESP[Block],KeyResp4RT[Block],KeyResp5RESP[Block],KeyResp5RT[Block],KeyResp6RESP[Block],KeyResp6RT[Block],KeyResp7RESP[Block],KeyResp7RT[Block],KeyResp8RESP[Block],KeyResp8RT[Block],LedNummer,LookAwayCrit[Block],LookAwayResp,LookAwayTime1[Block],LookAwayTime2[Block],LookAwayTime3[Block],LookAwayTime4[Block],LookAwayTime5[Block],LookAwayTime6[Block],LookAwayTime7[Block],LookAwayTime8[Block],LookCrit[Block],LookResp,LookTime1[Block],LookTime2[Block],LookTime3[Block],LookTime4[Block],LookTime5[Block],LookTime6[Block],LookTime7[Block],LookTime8[Block],MaxFamTime,MaxRepeats,MinLength,Procedure[Block],repeats3,repeats5,repeats7,repeats9,Running[Block],TestList1,TestList1.Cycle,TestList1.Sample,TestList2,TestList2.Cycle,TestList2.Sample,TestList3,TestList3.Cycle,TestList3.Sample,Trial,AttenList1,AttenList1.Cycle,AttenList1.Sample,AttenList2,AttenList2.Cycle,AttenList2.Sample,AudioFile[Trial],KeyResp10RESP,KeyResp10RT,KeyResp11RESP,KeyResp11RT,KeyResp1RESP[Trial],KeyResp1RT[Trial],KeyResp2RESP[Trial],KeyResp2RT[Trial],KeyResp3RESP[Trial],KeyResp3RT[Trial],KeyResp4RESP[Trial],KeyResp4RT[Trial],KeyResp5RESP[Trial],KeyResp5RT[Trial],KeyResp6RESP[Trial],KeyResp6RT[Trial],KeyResp7RESP[Trial],KeyResp7RT[Trial],KeyResp8RESP[Trial],KeyResp8RT[Trial],KeyResp9RESP,KeyResp9RT,LookAwayCrit[Trial],LookAwayTime1[Trial],LookAwayTime10,LookAwayTime11,LookAwayTime2[Trial],LookAwayTime3[Trial],LookAwayTime4[Trial],LookAwayTime5[Trial],LookAwayTime6[Trial],LookAwayTime7[Trial],LookAwayTime8[Trial],LookAwayTime9,LookCrit[Trial],LookTime1[Trial],LookTime10,LookTime11,LookTime12,LookTime2[Trial],LookTime3[Trial],LookTime4[Trial],LookTime5[Trial],LookTime6[Trial],LookTime7[Trial],LookTime8[Trial],LookTime9,Procedure[Trial],Running[Trial]
MarcusMB3_ABA,15,1,<ChronosDeviceInfo><FriendlyName>MyChronos</FriendlyName><DeviceIndex>1</DeviceIndex><SerialNumber>CHR-04301-1201</SerialNumber><EBNVersion>1.0.3.36</EBNVersion><FirmwareVersion>1.33</FirmwareVersion><APIVersion>1.33</APIVersion><USBHostControllerVersion>3.0</USBHostControllerVersion><USBConnectionRoute>USB#ROOT_HUB30#4&36e5125b&0&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} + VID_2266&PID_0007(6)</USBConnectionRoute></ChronosDeviceInfo>,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-10-05T11:24:26Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">6838473028</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-10-05T11:24:26Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",MarcusMB3_ABA-15-1,59.942,1.0.0.94,1,-1749405221,Professional,2.0.10.356,2.0.10.356,10-05-2021,5-10-2021 11:24:27,13:24:27,2.0.10.252,1,NULL,1,1,1,,NULL,NULL,NULL,NULL,{UPARROW},5161,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,120000,NULL,5151,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2000,NULL,0,2006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AttentionProc,NULL,NULL,NULL,NULL,AttenList,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MarcusMB3_ABA,15,1,<ChronosDeviceInfo><FriendlyName>MyChronos</FriendlyName><DeviceIndex>1</DeviceIndex><SerialNumber>CHR-04301-1201</SerialNumber><EBNVersion>1.0.3.36</EBNVersion><FirmwareVersion>1.33</FirmwareVersion><APIVersion>1.33</APIVersion><USBHostControllerVersion>3.0</USBHostControllerVersion><USBConnectionRoute>USB#ROOT_HUB30#4&36e5125b&0&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} + VID_2266&PID_0007(6)</USBConnectionRoute></ChronosDeviceInfo>,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-10-05T11:24:26Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">6838473028</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-10-05T11:24:26Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",MarcusMB3_ABA-15-1,59.942,1.0.0.94,1,-1749405221,Professional,2.0.10.356,2.0.10.356,10-05-2021,5-10-2021 11:24:27,13:24:27,2.0.10.252,2,NULL,NULL,NULL,NULL,fam_aba_6.wav,NULL,7,2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,116255,NULL,NULL,FamProc,NULL,NULL,NULL,NULL,FamList,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MarcusMB3_ABA,15,1,<ChronosDeviceInfo><FriendlyName>MyChronos</FriendlyName><DeviceIndex>1</DeviceIndex><SerialNumber>CHR-04301-1201</SerialNumber><EBNVersion>1.0.3.36</EBNVersion><FirmwareVersion>1.33</FirmwareVersion><APIVersion>1.33</APIVersion><USBHostControllerVersion>3.0</USBHostControllerVersion><USBConnectionRoute>USB#ROOT_HUB30#4&36e5125b&0&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} + VID_2266&PID_0007(6)</USBConnectionRoute></ChronosDeviceInfo>,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-10-05T11:24:26Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">6838473028</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-10-05T11:24:26Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",MarcusMB3_ABA-15-1,59.942,1.0.0.94,1,-1749405221,Professional,2.0.10.356,2.0.10.356,10-05-2021,5-10-2021 11:24:27,13:24:27,2.0.10.252,3,NULL,NULL,NULL,NULL,test_stream_tisoso_6reps_15sec_ch1.wav,Left,NULL,NULL,NULL,{RIGHTARROW},1440,{-RIGHTARROW},7752,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2000,{-RIGHTARROW},1429,0,2004,NULL,NULL,NULL,NULL,NULL,15000,{RIGHTARROW},0,6299,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,15000,TestProc1,0,NULL,NULL,NULL,TestList1,4,1,1,NULL,NULL,NULL,NULL,NULL,NULL,1,1,1,1,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,{UPARROW},5332,{-UPARROW},5804,{UPARROW},6412,{-UPARROW},7324,{UPARROW},8188,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,120000,5328,NULL,NULL,0,588,0,851,NULL,NULL,NULL,NULL,2000,0,NULL,NULL,NULL,457,0,903,0,2009,NULL,NULL,NULL,AttentionProc,AttenList1
MarcusMB3_ABA,15,1,<ChronosDeviceInfo><FriendlyName>MyChronos</FriendlyName><DeviceIndex>1</DeviceIndex><SerialNumber>CHR-04301-1201</SerialNumber><EBNVersion>1.0.3.36</EBNVersion><FirmwareVersion>1.33</FirmwareVersion><APIVersion>1.33</APIVersion><USBHostControllerVersion>3.0</USBHostControllerVersion><USBConnectionRoute>USB#ROOT_HUB30#4&36e5125b&0&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} + VID_2266&PID_0007(6)</USBConnectionRoute></ChronosDeviceInfo>,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-10-05T11:24:26Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">6838473028</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-10-05T11:24:26Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",MarcusMB3_ABA-15-1,59.942,1.0.0.94,1,-1749405221,Professional,2.0.10.356,2.0.10.356,10-05-2021,5-10-2021 11:24:27,13:24:27,2.0.10.252,4,NULL,NULL,NULL,NULL,test_stream_lonilo_6reps_15sec_ch1.wav,Left,NULL,NULL,NULL,{RIGHTARROW},1207,{-RIGHTARROW},3967,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2000,{-RIGHTARROW},1201,0,2004,NULL,NULL,NULL,NULL,NULL,15000,{RIGHTARROW},0,2742,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,15000,TestProc1,0,NULL,NULL,NULL,TestList1,1,1,2,NULL,NULL,NULL,NULL,NULL,NULL,1,1,2,2,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,{UPARROW},1429,{-RIGHTARROW},3967,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,120000,1419,NULL,NULL,0,2004,NULL,NULL,NULL,NULL,NULL,NULL,2000,0,NULL,NULL,NULL,2000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AttentionProc,AttenList1
MarcusMB3_ABA,15,1,<ChronosDeviceInfo><FriendlyName>MyChronos</FriendlyName><DeviceIndex>1</DeviceIndex><SerialNumber>CHR-04301-1201</SerialNumber><EBNVersion>1.0.3.36</EBNVersion><FirmwareVersion>1.33</FirmwareVersion><APIVersion>1.33</APIVersion><USBHostControllerVersion>3.0</USBHostControllerVersion><USBConnectionRoute>USB#ROOT_HUB30#4&36e5125b&0&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} + VID_2266&PID_0007(6)</USBConnectionRoute></ChronosDeviceInfo>,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-10-05T11:24:26Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">6838473028</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-10-05T11:24:26Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",MarcusMB3_ABA-15-1,59.942,1.0.0.94,1,-1749405221,Professional,2.0.10.356,2.0.10.356,10-05-2021,5-10-2021 11:24:27,13:24:27,2.0.10.252,5,NULL,NULL,NULL,NULL,test_stream_tisoti_6reps_15sec_ch2.wav,Right,NULL,NULL,NULL,{LEFTARROW},9298,{-LEFTARROW},10562,{LEFTARROW},11882,{-LEFTARROW},12106,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,2000,{-LEFTARROW},9290,0,1310,0,2002,NULL,NULL,NULL,15000,{LEFTARROW},0,1253,0,214,NULL,NULL,NULL,NULL,NULL,1,15000,TestProc1,NULL,0,NULL,NULL,TestList1,2,1,3,NULL,NULL,NULL,NULL,NULL,NULL,1,1,3,3,NULL,NULL,NULL,,{-UPARROW},16911,{UPARROW},18191,{UPARROW},647,{-UPARROW},1927,{UPARROW},6063,{-UPARROW},7055,{UPARROW},8655,{-UPARROW},9807,{UPARROW},15271,{-UPARROW},15407,{UPARROW},15679,120000,638,0,1267,0,4115,0,1582,0,5452,0,253,2000,0,1218,0,2009,1269,0,985,0,1137,0,121,0,AttentionProc,AttenList1
MarcusMB3_ABA,15,1,<ChronosDeviceInfo><FriendlyName>MyChronos</FriendlyName><DeviceIndex>1</DeviceIndex><SerialNumber>CHR-04301-1201</SerialNumber><EBNVersion>1.0.3.36</EBNVersion><FirmwareVersion>1.33</FirmwareVersion><APIVersion>1.33</APIVersion><USBHostControllerVersion>3.0</USBHostControllerVersion><USBConnectionRoute>USB#ROOT_HUB30#4&36e5125b&0&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} + VID_2266&PID_0007(6)</USBConnectionRoute></ChronosDeviceInfo>,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-10-05T11:24:26Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">6838473028</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-10-05T11:24:26Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",MarcusMB3_ABA-15-1,59.942,1.0.0.94,1,-1749405221,Professional,2.0.10.356,2.0.10.356,10-05-2021,5-10-2021 11:24:27,13:24:27,2.0.10.252,6,NULL,NULL,NULL,NULL,test_stream_lonini_6reps_15sec_ch2.wav,Right,NULL,NULL,NULL,{LEFTARROW},29926,{-LEFTARROW},33102,{LEFTARROW},34942,{-LEFTARROW},37582,{LEFTARROW},38286,{-LEFTARROW},39526,{LEFTARROW},40118,{-LEFTARROW},44054,4,2000,{-LEFTARROW},29916,0,1827,0,700,0,576,0,15000,{LEFTARROW},0,3167,0,2629,0,1230,0,3927,NULL,1,15000,TestProc1,NULL,NULL,NULL,1,TestList1,3,1,4,NULL,NULL,NULL,NULL,NULL,NULL,1,1,4,4,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,{UPARROW},2445,{-LEFTARROW},33102,{LEFTARROW},34942,{-LEFTARROW},37582,{LEFTARROW},38286,{-LEFTARROW},39526,{LEFTARROW},40118,{-LEFTARROW},44054,NULL,NULL,120000,2432,NULL,NULL,0,1827,0,700,0,576,0,NULL,2000,0,NULL,NULL,NULL,2000,0,2629,0,1230,0,3927,NULL,AttentionProc,AttenList1
MarcusMB3_ABA,15,1,<ChronosDeviceInfo><FriendlyName>MyChronos</FriendlyName><DeviceIndex>1</DeviceIndex><SerialNumber>CHR-04301-1201</SerialNumber><EBNVersion>1.0.3.36</EBNVersion><FirmwareVersion>1.33</FirmwareVersion><APIVersion>1.33</APIVersion><USBHostControllerVersion>3.0</USBHostControllerVersion><USBConnectionRoute>USB#ROOT_HUB30#4&36e5125b&0&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} + VID_2266&PID_0007(6)</USBConnectionRoute></ChronosDeviceInfo>,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-10-05T11:24:26Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">6838473028</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-10-05T11:24:26Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",MarcusMB3_ABA-15-1,59.942,1.0.0.94,1,-1749405221,Professional,2.0.10.356,2.0.10.356,10-05-2021,5-10-2021 11:24:27,13:24:27,2.0.10.252,7,Right,NULL,NULL,NULL,test_stream_lonilo_6reps_15sec_ch2.wav,NULL,NULL,NULL,NULL,{LEFTARROW},753,{-LEFTARROW},2873,{LEFTARROW},3505,{-LEFTARROW},7497,{LEFTARROW},8001,{-LEFTARROW},8489,NULL,NULL,NULL,NULL,4,2000,{-LEFTARROW},741,0,618,0,493,0,2004,NULL,15000,{LEFTARROW},0,2116,0,3983,0,473,NULL,NULL,NULL,1,15000,TestProc2,NULL,NULL,0,NULL,TestList2,NULL,NULL,NULL,1,1,1,NULL,NULL,NULL,1,NULL,NULL,NULL,1,1,1,,NULL,NULL,NULL,NULL,{UPARROW},12433,{-LEFTARROW},2873,{LEFTARROW},3505,{-LEFTARROW},7497,{LEFTARROW},8001,{-LEFTARROW},8489,NULL,NULL,NULL,NULL,NULL,NULL,120000,12427,NULL,NULL,0,618,0,493,0,2004,NULL,NULL,2000,0,NULL,NULL,NULL,2000,0,3983,0,473,NULL,NULL,NULL,AttentionProc,AttenList2
