STRING,INTEGER,INTEGER,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,INTEGER,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,INTEGER,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING
EXPNAME,SUBJECT,SESSION,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,LOG_LEVEL,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,LOG_LEVEL,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
ExperimentName,Subject,Session,Chronos.BoxInfo,Clock.Information,DataFile.Basename,Display.RefreshRate,ExperimentVersion,Group,RandomSeed,RuntimeCapabilities,RuntimeVersion,RuntimeVersionExpected,SessionDate,SessionStartDateTimeUtc,SessionTime,StudioVersion,Block,Arrow,AttenList,AttenList.Cycle,AttenList.Sample,AudioFile[Block],Babys_side,FamList,FamList.Cycle,FamList.Sample,KeyResp1RESP[Block],KeyResp1RT[Block],KeyResp2RESP[Block],KeyResp2RT[Block],KeyResp3RESP[Block],KeyResp3RT[Block],KeyResp4RESP[Block],KeyResp4RT[Block],KeyResp5RESP[Block],KeyResp5RT[Block],KeyResp6RESP[Block],KeyResp6RT[Block],KeyResp7RESP[Block],KeyResp7RT[Block],KeyResp8RESP[Block],KeyResp8RT[Block],KeyResp9RESP[Block],KeyResp9RT[Block],LedNummer,LookAwayCrit[Block],LookAwayResp,LookAwayTime1[Block],LookAwayTime2[Block],LookAwayTime3[Block],LookAwayTime4[Block],LookAwayTime5[Block],LookAwayTime6[Block],LookAwayTime7[Block],LookAwayTime8[Block],LookAwayTime9[Block],LookCrit[Block],LookResp,LookTime1[Block],LookTime2[Block],LookTime3[Block],LookTime4[Block],LookTime5[Block],LookTime6[Block],LookTime7[Block],LookTime8[Block],LookTime9[Block],MaxFamTime,MaxRepeats,MinLength,Procedure[Block],repeats10,repeats2,repeats3,repeats4,repeats5,repeats6,repeats7,Running[Block],TestList1,TestList1.Cycle,TestList1.Sample,TestList2,TestList2.Cycle,TestList2.Sample,TestList3,TestList3.Cycle,TestList3.Sample,Trial,AttenList1,AttenList1.Cycle,AttenList1.Sample,AttenList2,AttenList2.Cycle,AttenList2.Sample,AudioFile[Trial],KeyResp10RESP,KeyResp10RT,KeyResp11RESP,KeyResp11RT,KeyResp12RESP,KeyResp12RT,KeyResp13RESP,KeyResp13RT,KeyResp14RESP,KeyResp14RT,KeyResp15RESP,KeyResp15RT,KeyResp16RESP,KeyResp16RT,KeyResp17RESP,KeyResp17RT,KeyResp1RESP[Trial],KeyResp1RT[Trial],KeyResp2RESP[Trial],KeyResp2RT[Trial],KeyResp3RESP[Trial],KeyResp3RT[Trial],KeyResp4RESP[Trial],KeyResp4RT[Trial],KeyResp5RESP[Trial],KeyResp5RT[Trial],KeyResp6RESP[Trial],KeyResp6RT[Trial],KeyResp7RESP[Trial],KeyResp7RT[Trial],KeyResp8RESP[Trial],KeyResp8RT[Trial],KeyResp9RESP[Trial],KeyResp9RT[Trial],LookAwayCrit[Trial],LookAwayTime1[Trial],LookAwayTime10,LookAwayTime11,LookAwayTime12,LookAwayTime13,LookAwayTime14,LookAwayTime15,LookAwayTime16,LookAwayTime17,LookAwayTime2[Trial],LookAwayTime3[Trial],LookAwayTime4[Trial],LookAwayTime5[Trial],LookAwayTime6[Trial],LookAwayTime7[Trial],LookAwayTime8[Trial],LookAwayTime9[Trial],LookCrit[Trial],LookTime1[Trial],LookTime10,LookTime11,LookTime12,LookTime13,LookTime14,LookTime15,LookTime16,LookTime17,LookTime18,LookTime2[Trial],LookTime3[Trial],LookTime4[Trial],LookTime5[Trial],LookTime6[Trial],LookTime7[Trial],LookTime8[Trial],LookTime9[Trial],Procedure[Trial],Running[Trial]
MarcusMB3_ABA,7,1,<ChronosDeviceInfo><FriendlyName>MyChronos</FriendlyName><DeviceIndex>1</DeviceIndex><SerialNumber>CHR-04301-1201</SerialNumber><EBNVersion>1.0.3.36</EBNVersion><FirmwareVersion>1.33</FirmwareVersion><APIVersion>1.33</APIVersion><USBHostControllerVersion>3.0</USBHostControllerVersion><USBConnectionRoute>USB#ROOT_HUB30#4&36e5125b&0&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} + VID_2266&PID_0007(6)</USBConnectionRoute></ChronosDeviceInfo>,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-27T06:21:27Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">4963855554</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-27T06:21:27Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",MarcusMB3_ABA-7-1,59.942,1.0.0.88,1,670878982,Professional,2.0.10.356,2.0.10.356,08-27-2021,27-8-2021 06:21:27,8:21:27,2.0.10.252,1,NULL,1,1,1,,NULL,NULL,NULL,NULL,{UPARROW},1984,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,120000,NULL,1975,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2000,NULL,0,2009,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AttentionProc,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AttenList,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MarcusMB3_ABA,7,1,<ChronosDeviceInfo><FriendlyName>MyChronos</FriendlyName><DeviceIndex>1</DeviceIndex><SerialNumber>CHR-04301-1201</SerialNumber><EBNVersion>1.0.3.36</EBNVersion><FirmwareVersion>1.33</FirmwareVersion><APIVersion>1.33</APIVersion><USBHostControllerVersion>3.0</USBHostControllerVersion><USBConnectionRoute>USB#ROOT_HUB30#4&36e5125b&0&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} + VID_2266&PID_0007(6)</USBConnectionRoute></ChronosDeviceInfo>,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-27T06:21:27Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">4963855554</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-27T06:21:27Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",MarcusMB3_ABA-7-1,59.942,1.0.0.88,1,670878982,Professional,2.0.10.356,2.0.10.356,08-27-2021,27-8-2021 06:21:27,8:21:27,2.0.10.252,2,NULL,NULL,NULL,NULL,fam_aba_6.wav,NULL,7,2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,116255,NULL,NULL,FamProc,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FamList,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MarcusMB3_ABA,7,1,<ChronosDeviceInfo><FriendlyName>MyChronos</FriendlyName><DeviceIndex>1</DeviceIndex><SerialNumber>CHR-04301-1201</SerialNumber><EBNVersion>1.0.3.36</EBNVersion><FirmwareVersion>1.33</FirmwareVersion><APIVersion>1.33</APIVersion><USBHostControllerVersion>3.0</USBHostControllerVersion><USBConnectionRoute>USB#ROOT_HUB30#4&36e5125b&0&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} + VID_2266&PID_0007(6)</USBConnectionRoute></ChronosDeviceInfo>,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-27T06:21:27Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">4963855554</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-27T06:21:27Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",MarcusMB3_ABA-7-1,59.942,1.0.0.88,1,670878982,Professional,2.0.10.356,2.0.10.356,08-27-2021,27-8-2021 06:21:27,8:21:27,2.0.10.252,3,NULL,NULL,NULL,NULL,test_stream_tisoso_6reps_15sec_ch1.wav,Left,NULL,NULL,NULL,{RIGHTARROW},1325,{-RIGHTARROW},3757,{RIGHTARROW},4789,{-RIGHTARROW},8069,{RIGHTARROW},9557,{-RIGHTARROW},11477,NULL,NULL,NULL,NULL,NULL,NULL,1,2000,{-RIGHTARROW},1317,0,1023,0,1478,0,2005,NULL,NULL,15000,{RIGHTARROW},0,2415,0,3277,0,1906,NULL,NULL,NULL,NULL,1,15000,TestProc1,NULL,NULL,NULL,NULL,NULL,NULL,0,TestList1,4,1,1,NULL,NULL,NULL,NULL,NULL,NULL,1,1,1,1,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,{UPARROW},3870,{-RIGHTARROW},3757,{RIGHTARROW},4789,{-RIGHTARROW},8069,{RIGHTARROW},9557,{-RIGHTARROW},11477,NULL,NULL,NULL,NULL,NULL,NULL,120000,3862,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1023,0,1478,0,2005,NULL,NULL,2000,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2000,0,3277,0,1906,NULL,NULL,NULL,AttentionProc,AttenList1
MarcusMB3_ABA,7,1,<ChronosDeviceInfo><FriendlyName>MyChronos</FriendlyName><DeviceIndex>1</DeviceIndex><SerialNumber>CHR-04301-1201</SerialNumber><EBNVersion>1.0.3.36</EBNVersion><FirmwareVersion>1.33</FirmwareVersion><APIVersion>1.33</APIVersion><USBHostControllerVersion>3.0</USBHostControllerVersion><USBConnectionRoute>USB#ROOT_HUB30#4&36e5125b&0&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} + VID_2266&PID_0007(6)</USBConnectionRoute></ChronosDeviceInfo>,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-27T06:21:27Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">4963855554</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-27T06:21:27Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",MarcusMB3_ABA-7-1,59.942,1.0.0.88,1,670878982,Professional,2.0.10.356,2.0.10.356,08-27-2021,27-8-2021 06:21:27,8:21:27,2.0.10.252,4,NULL,NULL,NULL,NULL,test_stream_lonini_6reps_15sec_ch2.wav,Right,NULL,NULL,NULL,{LEFTARROW},1506,{-LEFTARROW},4122,{LEFTARROW},5226,{-LEFTARROW},9186,{LEFTARROW},10170,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,2000,{-LEFTARROW},1500,0,1094,0,971,NULL,NULL,NULL,NULL,15000,{LEFTARROW},0,2599,0,3951,0,NULL,NULL,NULL,NULL,NULL,1,15000,TestProc1,NULL,NULL,NULL,NULL,NULL,1,NULL,TestList1,3,1,2,NULL,NULL,NULL,NULL,NULL,NULL,1,1,2,2,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,{UPARROW},2289,{-UPARROW},4113,{UPARROW},4769,{-UPARROW},6745,{UPARROW},8129,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,120000,2281,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,649,0,1369,NULL,NULL,NULL,NULL,2000,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1807,0,1958,0,2000,NULL,NULL,NULL,AttentionProc,AttenList1
MarcusMB3_ABA,7,1,<ChronosDeviceInfo><FriendlyName>MyChronos</FriendlyName><DeviceIndex>1</DeviceIndex><SerialNumber>CHR-04301-1201</SerialNumber><EBNVersion>1.0.3.36</EBNVersion><FirmwareVersion>1.33</FirmwareVersion><APIVersion>1.33</APIVersion><USBHostControllerVersion>3.0</USBHostControllerVersion><USBConnectionRoute>USB#ROOT_HUB30#4&36e5125b&0&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} + VID_2266&PID_0007(6)</USBConnectionRoute></ChronosDeviceInfo>,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-27T06:21:27Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">4963855554</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-27T06:21:27Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",MarcusMB3_ABA-7-1,59.942,1.0.0.88,1,670878982,Professional,2.0.10.356,2.0.10.356,08-27-2021,27-8-2021 06:21:27,8:21:27,2.0.10.252,5,NULL,NULL,NULL,NULL,test_stream_lonilo_6reps_15sec_ch1.wav,Left,NULL,NULL,NULL,{RIGHTARROW},1434,{-RIGHTARROW},5338,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2000,{-RIGHTARROW},1428,0,2005,NULL,NULL,NULL,NULL,NULL,NULL,15000,{RIGHTARROW},0,3885,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,15000,TestProc1,NULL,NULL,0,NULL,NULL,NULL,NULL,TestList1,1,1,3,NULL,NULL,NULL,NULL,NULL,NULL,1,1,3,3,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,{UPARROW},2024,{-RIGHTARROW},5338,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,120000,2017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2005,NULL,NULL,NULL,NULL,NULL,NULL,2000,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2010,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AttentionProc,AttenList1
MarcusMB3_ABA,7,1,<ChronosDeviceInfo><FriendlyName>MyChronos</FriendlyName><DeviceIndex>1</DeviceIndex><SerialNumber>CHR-04301-1201</SerialNumber><EBNVersion>1.0.3.36</EBNVersion><FirmwareVersion>1.33</FirmwareVersion><APIVersion>1.33</APIVersion><USBHostControllerVersion>3.0</USBHostControllerVersion><USBConnectionRoute>USB#ROOT_HUB30#4&36e5125b&0&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} + VID_2266&PID_0007(6)</USBConnectionRoute></ChronosDeviceInfo>,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-27T06:21:27Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">4963855554</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-27T06:21:27Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",MarcusMB3_ABA-7-1,59.942,1.0.0.88,1,670878982,Professional,2.0.10.356,2.0.10.356,08-27-2021,27-8-2021 06:21:27,8:21:27,2.0.10.252,6,NULL,NULL,NULL,NULL,test_stream_tisoti_6reps_15sec_ch2.wav,Right,NULL,NULL,NULL,{LEFTARROW},1391,{-LEFTARROW},4431,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,2000,{-LEFTARROW},1379,0,2006,NULL,NULL,NULL,NULL,NULL,NULL,15000,{LEFTARROW},0,3037,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,15000,TestProc1,NULL,NULL,0,NULL,NULL,NULL,NULL,TestList1,2,1,4,NULL,NULL,NULL,NULL,NULL,NULL,1,1,4,4,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,{UPARROW},2321,{-LEFTARROW},4431,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,120000,2312,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2006,NULL,NULL,NULL,NULL,NULL,NULL,2000,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AttentionProc,AttenList1
MarcusMB3_ABA,7,1,<ChronosDeviceInfo><FriendlyName>MyChronos</FriendlyName><DeviceIndex>1</DeviceIndex><SerialNumber>CHR-04301-1201</SerialNumber><EBNVersion>1.0.3.36</EBNVersion><FirmwareVersion>1.33</FirmwareVersion><APIVersion>1.33</APIVersion><USBHostControllerVersion>3.0</USBHostControllerVersion><USBConnectionRoute>USB#ROOT_HUB30#4&36e5125b&0&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} + VID_2266&PID_0007(6)</USBConnectionRoute></ChronosDeviceInfo>,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-27T06:21:27Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">4963855554</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-27T06:21:27Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",MarcusMB3_ABA-7-1,59.942,1.0.0.88,1,670878982,Professional,2.0.10.356,2.0.10.356,08-27-2021,27-8-2021 06:21:27,8:21:27,2.0.10.252,7,Left,NULL,NULL,NULL,test_stream_lonini_6reps_15sec_ch1.wav,NULL,NULL,NULL,NULL,{RIGHTARROW},891,{-RIGHTARROW},6315,{RIGHTARROW},7483,{-RIGHTARROW},12651,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2000,{-RIGHTARROW},885,0,1158,0,2008,NULL,NULL,NULL,NULL,15000,{RIGHTARROW},0,5408,0,5154,NULL,NULL,NULL,NULL,NULL,NULL,1,15000,TestProc2,NULL,NULL,NULL,NULL,0,NULL,NULL,TestList2,NULL,NULL,NULL,3,1,1,NULL,NULL,NULL,1,NULL,NULL,NULL,1,1,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,{UPARROW},1020,{-UPARROW},2460,{UPARROW},2508,{-UPARROW},2884,{UPARROW},4636,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,120000,1014,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,41,0,1743,NULL,NULL,NULL,NULL,2000,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1421,0,355,0,2000,NULL,NULL,NULL,AttentionProc,AttenList2
