STRING,INTEGER,INTEGER,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,INTEGER,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,INTEGER,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING
EXPNAME,SUBJECT,SESSION,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,LOG_LEVEL,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,LOG_LEVEL,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
ExperimentName,Subject,Session,Chronos.BoxInfo,Clock.Information,DataFile.Basename,Display.RefreshRate,ExperimentVersion,Group,RandomSeed,RuntimeCapabilities,RuntimeVersion,RuntimeVersionExpected,SessionDate,SessionStartDateTimeUtc,SessionTime,StudioVersion,Block,Arrow,AttenList,AttenList.Cycle,AttenList.Sample,AudioFile[Block],Babys_side,FamList,FamList.Cycle,FamList.Sample,KeyResp1RESP[Block],KeyResp1RT[Block],KeyResp2RESP[Block],KeyResp2RT[Block],KeyResp3RESP[Block],KeyResp3RT[Block],KeyResp4RESP[Block],KeyResp4RT[Block],KeyResp5RESP[Block],KeyResp5RT[Block],KeyResp6RESP,KeyResp6RT,LedNummer,LookAwayCrit[Block],LookAwayResp,LookAwayTime1[Block],LookAwayTime2[Block],LookAwayTime3[Block],LookAwayTime4[Block],LookAwayTime5[Block],LookAwayTime6,LookAwayTime7,LookCrit[Block],LookResp,LookTime1[Block],LookTime2[Block],LookTime3[Block],LookTime4[Block],LookTime5[Block],LookTime6[Block],MaxFamTime,MaxRepeats,MinLength,Procedure[Block],repeats3,repeats4,repeats6,repeats7,Running[Block],TestList1,TestList1.Cycle,TestList1.Sample,TestList2,TestList2.Cycle,TestList2.Sample,TestList3,TestList3.Cycle,TestList3.Sample,Trial,AttenList1,AttenList1.Cycle,AttenList1.Sample,AttenList2,AttenList2.Cycle,AttenList2.Sample,AudioFile[Trial],KeyResp1RESP[Trial],KeyResp1RT[Trial],KeyResp2RESP[Trial],KeyResp2RT[Trial],KeyResp3RESP[Trial],KeyResp3RT[Trial],KeyResp4RESP[Trial],KeyResp4RT[Trial],KeyResp5RESP[Trial],KeyResp5RT[Trial],LookAwayCrit[Trial],LookAwayTime1[Trial],LookAwayTime2[Trial],LookAwayTime3[Trial],LookAwayTime4[Trial],LookAwayTime5[Trial],LookCrit[Trial],LookTime1[Trial],LookTime2[Trial],LookTime3[Trial],LookTime4[Trial],LookTime5[Trial],LookTime6[Trial],Procedure[Trial],Running[Trial]
MarcusMB3_ABA,9,1,<ChronosDeviceInfo><FriendlyName>MyChronos</FriendlyName><DeviceIndex>1</DeviceIndex><SerialNumber>CHR-04301-1201</SerialNumber><EBNVersion>1.0.3.36</EBNVersion><FirmwareVersion>1.33</FirmwareVersion><APIVersion>1.33</APIVersion><USBHostControllerVersion>3.0</USBHostControllerVersion><USBConnectionRoute>USB#ROOT_HUB30#4&36e5125b&0&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} + VID_2266&PID_0007(6)</USBConnectionRoute></ChronosDeviceInfo>,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-27T11:48:51Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">37843088439</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-27T11:48:51Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",MarcusMB3_ABA-9-1,59.942,1.0.0.89,1,-809514273,Professional,2.0.10.356,2.0.10.356,08-27-2021,27-8-2021 11:48:51,13:48:51,2.0.10.252,1,NULL,1,1,1,,NULL,NULL,NULL,NULL,{UPARROW},5336,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,120000,NULL,5324,NULL,NULL,NULL,NULL,NULL,NULL,2000,NULL,0,2007,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AttentionProc,NULL,NULL,NULL,NULL,AttenList,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MarcusMB3_ABA,9,1,<ChronosDeviceInfo><FriendlyName>MyChronos</FriendlyName><DeviceIndex>1</DeviceIndex><SerialNumber>CHR-04301-1201</SerialNumber><EBNVersion>1.0.3.36</EBNVersion><FirmwareVersion>1.33</FirmwareVersion><APIVersion>1.33</APIVersion><USBHostControllerVersion>3.0</USBHostControllerVersion><USBConnectionRoute>USB#ROOT_HUB30#4&36e5125b&0&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} + VID_2266&PID_0007(6)</USBConnectionRoute></ChronosDeviceInfo>,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-27T11:48:51Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">37843088439</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-27T11:48:51Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",MarcusMB3_ABA-9-1,59.942,1.0.0.89,1,-809514273,Professional,2.0.10.356,2.0.10.356,08-27-2021,27-8-2021 11:48:51,13:48:51,2.0.10.252,2,NULL,NULL,NULL,NULL,fam_aba_0.wav,NULL,1,2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,116255,NULL,NULL,FamProc,NULL,NULL,NULL,NULL,FamList,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MarcusMB3_ABA,9,1,<ChronosDeviceInfo><FriendlyName>MyChronos</FriendlyName><DeviceIndex>1</DeviceIndex><SerialNumber>CHR-04301-1201</SerialNumber><EBNVersion>1.0.3.36</EBNVersion><FirmwareVersion>1.33</FirmwareVersion><APIVersion>1.33</APIVersion><USBHostControllerVersion>3.0</USBHostControllerVersion><USBConnectionRoute>USB#ROOT_HUB30#4&36e5125b&0&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} + VID_2266&PID_0007(6)</USBConnectionRoute></ChronosDeviceInfo>,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-27T11:48:51Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">37843088439</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-27T11:48:51Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",MarcusMB3_ABA-9-1,59.942,1.0.0.89,1,-809514273,Professional,2.0.10.356,2.0.10.356,08-27-2021,27-8-2021 11:48:51,13:48:51,2.0.10.252,3,NULL,NULL,NULL,NULL,test_stream_lonilo_6reps_15sec_ch1.wav,Left,NULL,NULL,NULL,{RIGHTARROW},2162,{-RIGHTARROW},6490,{RIGHTARROW},7690,NULL,NULL,NULL,NULL,NULL,NULL,1,2000,{-RIGHTARROW},2157,0,1196,NULL,NULL,NULL,NULL,15000,{RIGHTARROW},0,4310,0,NULL,NULL,NULL,NULL,1,15000,TestProc1,NULL,1,NULL,NULL,TestList1,1,1,1,NULL,NULL,NULL,NULL,NULL,NULL,1,1,1,1,NULL,NULL,NULL,,{-UPARROW},13934,{UPARROW},17462,{RIGHTARROW},7690,NULL,NULL,NULL,NULL,120000,13925,3515,1196,NULL,NULL,2000,0,0,2009,NULL,NULL,NULL,AttentionProc,AttenList1
MarcusMB3_ABA,9,1,<ChronosDeviceInfo><FriendlyName>MyChronos</FriendlyName><DeviceIndex>1</DeviceIndex><SerialNumber>CHR-04301-1201</SerialNumber><EBNVersion>1.0.3.36</EBNVersion><FirmwareVersion>1.33</FirmwareVersion><APIVersion>1.33</APIVersion><USBHostControllerVersion>3.0</USBHostControllerVersion><USBConnectionRoute>USB#ROOT_HUB30#4&36e5125b&0&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} + VID_2266&PID_0007(6)</USBConnectionRoute></ChronosDeviceInfo>,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-27T11:48:51Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">37843088439</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-27T11:48:51Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",MarcusMB3_ABA-9-1,59.942,1.0.0.89,1,-809514273,Professional,2.0.10.356,2.0.10.356,08-27-2021,27-8-2021 11:48:51,13:48:51,2.0.10.252,4,NULL,NULL,NULL,NULL,test_stream_tisoso_6reps_15sec_ch1.wav,Left,NULL,NULL,NULL,{RIGHTARROW},1129,{-RIGHTARROW},5385,{RIGHTARROW},6513,NULL,NULL,NULL,NULL,NULL,NULL,1,2000,{-RIGHTARROW},1120,0,1113,NULL,NULL,NULL,NULL,15000,{RIGHTARROW},0,4246,0,NULL,NULL,NULL,NULL,1,15000,TestProc1,NULL,1,NULL,NULL,TestList1,4,1,2,NULL,NULL,NULL,NULL,NULL,NULL,1,1,2,2,NULL,NULL,NULL,,{UPARROW},997,{-RIGHTARROW},5385,{RIGHTARROW},6513,NULL,NULL,NULL,NULL,120000,994,0,1113,NULL,NULL,2000,0,2001,0,NULL,NULL,NULL,AttentionProc,AttenList1
MarcusMB3_ABA,9,1,<ChronosDeviceInfo><FriendlyName>MyChronos</FriendlyName><DeviceIndex>1</DeviceIndex><SerialNumber>CHR-04301-1201</SerialNumber><EBNVersion>1.0.3.36</EBNVersion><FirmwareVersion>1.33</FirmwareVersion><APIVersion>1.33</APIVersion><USBHostControllerVersion>3.0</USBHostControllerVersion><USBConnectionRoute>USB#ROOT_HUB30#4&36e5125b&0&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} + VID_2266&PID_0007(6)</USBConnectionRoute></ChronosDeviceInfo>,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-27T11:48:51Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">37843088439</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-27T11:48:51Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",MarcusMB3_ABA-9-1,59.942,1.0.0.89,1,-809514273,Professional,2.0.10.356,2.0.10.356,08-27-2021,27-8-2021 11:48:51,13:48:51,2.0.10.252,5,NULL,NULL,NULL,NULL,test_stream_tisoti_6reps_15sec_ch2.wav,Right,NULL,NULL,NULL,{LEFTARROW},1882,{-LEFTARROW},9474,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,2000,{-LEFTARROW},1869,0,2003,NULL,NULL,NULL,NULL,15000,{LEFTARROW},0,7582,NULL,NULL,NULL,NULL,NULL,1,15000,TestProc1,0,NULL,NULL,NULL,TestList1,2,1,3,NULL,NULL,NULL,NULL,NULL,NULL,1,1,3,3,NULL,NULL,NULL,,{UPARROW},15040,{-UPARROW},15184,{UPARROW},26856,NULL,NULL,NULL,NULL,120000,15033,0,11653,NULL,NULL,2000,0,132,0,2010,NULL,NULL,AttentionProc,AttenList1
MarcusMB3_ABA,9,1,<ChronosDeviceInfo><FriendlyName>MyChronos</FriendlyName><DeviceIndex>1</DeviceIndex><SerialNumber>CHR-04301-1201</SerialNumber><EBNVersion>1.0.3.36</EBNVersion><FirmwareVersion>1.33</FirmwareVersion><APIVersion>1.33</APIVersion><USBHostControllerVersion>3.0</USBHostControllerVersion><USBConnectionRoute>USB#ROOT_HUB30#4&36e5125b&0&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} + VID_2266&PID_0007(6)</USBConnectionRoute></ChronosDeviceInfo>,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-27T11:48:51Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">37843088439</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-27T11:48:51Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",MarcusMB3_ABA-9-1,59.942,1.0.0.89,1,-809514273,Professional,2.0.10.356,2.0.10.356,08-27-2021,27-8-2021 11:48:51,13:48:51,2.0.10.252,6,NULL,NULL,NULL,NULL,test_stream_lonini_6reps_15sec_ch2.wav,Right,NULL,NULL,NULL,{LEFTARROW},2933,{-LEFTARROW},7133,{LEFTARROW},8341,{-LEFTARROW},14429,{LEFTARROW},16413,NULL,NULL,4,2000,{-LEFTARROW},2927,0,1197,0,1973,NULL,NULL,15000,{LEFTARROW},0,4184,0,6086,0,NULL,NULL,1,15000,TestProc1,NULL,NULL,1,NULL,TestList1,3,1,4,NULL,NULL,NULL,NULL,NULL,NULL,1,1,4,4,NULL,NULL,NULL,,{UPARROW},2952,{-LEFTARROW},7133,{LEFTARROW},8341,{-LEFTARROW},14429,{LEFTARROW},16413,120000,2940,0,1197,0,1973,2000,0,2010,0,6086,0,NULL,AttentionProc,AttenList1
MarcusMB3_ABA,9,1,<ChronosDeviceInfo><FriendlyName>MyChronos</FriendlyName><DeviceIndex>1</DeviceIndex><SerialNumber>CHR-04301-1201</SerialNumber><EBNVersion>1.0.3.36</EBNVersion><FirmwareVersion>1.33</FirmwareVersion><APIVersion>1.33</APIVersion><USBHostControllerVersion>3.0</USBHostControllerVersion><USBConnectionRoute>USB#ROOT_HUB30#4&36e5125b&0&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} + VID_2266&PID_0007(6)</USBConnectionRoute></ChronosDeviceInfo>,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-27T11:48:51Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">37843088439</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-27T11:48:51Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",MarcusMB3_ABA-9-1,59.942,1.0.0.89,1,-809514273,Professional,2.0.10.356,2.0.10.356,08-27-2021,27-8-2021 11:48:51,13:48:51,2.0.10.252,7,Right,NULL,NULL,NULL,test_stream_lonilo_6reps_15sec_ch2.wav,NULL,NULL,NULL,NULL,{LEFTARROW},1083,{-LEFTARROW},4787,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,2000,{-LEFTARROW},1069,0,2006,NULL,NULL,NULL,NULL,15000,{LEFTARROW},0,3695,NULL,NULL,NULL,NULL,NULL,1,15000,TestProc2,0,NULL,NULL,NULL,TestList2,NULL,NULL,NULL,1,1,1,NULL,NULL,NULL,1,NULL,NULL,NULL,1,1,1,,{UPARROW},4449,{-UPARROW},5913,{UPARROW},7681,{-UPARROW},8417,{UPARROW},9265,120000,4440,0,1754,0,831,2000,0,1452,0,721,0,2010,AttentionProc,AttenList2
