STRING,INTEGER,INTEGER,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,INTEGER,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,INTEGER,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING
EXPNAME,SUBJECT,SESSION,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,LOG_LEVEL,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,LOG_LEVEL,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
ExperimentName,Subject,Session,Chronos.BoxInfo,Clock.Information,DataFile.Basename,Display.RefreshRate,ExperimentVersion,Group,RandomSeed,RuntimeCapabilities,RuntimeVersion,RuntimeVersionExpected,SessionDate,SessionStartDateTimeUtc,SessionTime,StudioVersion,Block,Arrow,AttenList,AttenList.Cycle,AttenList.Sample,AudioFile[Block],Babys_side,FamList,FamList.Cycle,FamList.Sample,KeyResp1RESP[Block],KeyResp1RT[Block],KeyResp2RESP[Block],KeyResp2RT[Block],KeyResp3RESP[Block],KeyResp3RT[Block],KeyResp4RESP[Block],KeyResp4RT[Block],KeyResp5RESP,KeyResp5RT,KeyResp6RESP,KeyResp6RT,LedNummer,LookAwayCrit[Block],LookAwayResp,LookAwayTime1[Block],LookAwayTime2[Block],LookAwayTime3[Block],LookAwayTime4[Block],LookAwayTime5,LookAwayTime6,LookAwayTime7,LookCrit[Block],LookResp,LookTime1[Block],LookTime2[Block],LookTime3[Block],LookTime4[Block],LookTime5[Block],LookTime6,MaxFamTime,MaxRepeats,MinLength,Procedure[Block],repeats3,repeats5,repeats7,Running[Block],TestList1,TestList1.Cycle,TestList1.Sample,TestList2,TestList2.Cycle,TestList2.Sample,TestList3,TestList3.Cycle,TestList3.Sample,Trial,AttenList1,AttenList1.Cycle,AttenList1.Sample,AttenList2,AttenList2.Cycle,AttenList2.Sample,AudioFile[Trial],KeyResp1RESP[Trial],KeyResp1RT[Trial],KeyResp2RESP[Trial],KeyResp2RT[Trial],KeyResp3RESP[Trial],KeyResp3RT[Trial],KeyResp4RESP[Trial],KeyResp4RT[Trial],LookAwayCrit[Trial],LookAwayTime1[Trial],LookAwayTime2[Trial],LookAwayTime3[Trial],LookAwayTime4[Trial],LookCrit[Trial],LookTime1[Trial],LookTime2[Trial],LookTime3[Trial],LookTime4[Trial],LookTime5[Trial],Procedure[Trial],Running[Trial]
MarcusMB3_ABB,12,1,<ChronosDeviceInfo><FriendlyName>MyChronos</FriendlyName><DeviceIndex>1</DeviceIndex><SerialNumber>CHR-04301-1201</SerialNumber><EBNVersion>1.0.3.36</EBNVersion><FirmwareVersion>1.33</FirmwareVersion><APIVersion>1.33</APIVersion><USBHostControllerVersion>3.0</USBHostControllerVersion><USBConnectionRoute>USB#ROOT_HUB30#4&36e5125b&0&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} + VID_2266&PID_0007(6)</USBConnectionRoute></ChronosDeviceInfo>,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-09-10T07:35:26Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">4758239594</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-09-10T07:35:26Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",MarcusMB3_ABB-12-1,59.941,1.0.0.93,1,465278526,Professional,2.0.10.356,2.0.10.356,09-10-2021,10-9-2021 07:35:27,09:35:27,2.0.10.252,1,NULL,1,1,1,,NULL,NULL,NULL,NULL,{UPARROW},9234,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,120000,NULL,9219,NULL,NULL,NULL,NULL,NULL,NULL,2000,NULL,0,2001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AttentionProc,NULL,NULL,NULL,AttenList,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MarcusMB3_ABB,12,1,<ChronosDeviceInfo><FriendlyName>MyChronos</FriendlyName><DeviceIndex>1</DeviceIndex><SerialNumber>CHR-04301-1201</SerialNumber><EBNVersion>1.0.3.36</EBNVersion><FirmwareVersion>1.33</FirmwareVersion><APIVersion>1.33</APIVersion><USBHostControllerVersion>3.0</USBHostControllerVersion><USBConnectionRoute>USB#ROOT_HUB30#4&36e5125b&0&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} + VID_2266&PID_0007(6)</USBConnectionRoute></ChronosDeviceInfo>,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-09-10T07:35:26Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">4758239594</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-09-10T07:35:26Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",MarcusMB3_ABB-12-1,59.941,1.0.0.93,1,465278526,Professional,2.0.10.356,2.0.10.356,09-10-2021,10-9-2021 07:35:27,09:35:27,2.0.10.252,2,NULL,NULL,NULL,NULL,fam_abb_3.wav,NULL,4,2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,116300,NULL,NULL,FamProc,NULL,NULL,NULL,FamList,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MarcusMB3_ABB,12,1,<ChronosDeviceInfo><FriendlyName>MyChronos</FriendlyName><DeviceIndex>1</DeviceIndex><SerialNumber>CHR-04301-1201</SerialNumber><EBNVersion>1.0.3.36</EBNVersion><FirmwareVersion>1.33</FirmwareVersion><APIVersion>1.33</APIVersion><USBHostControllerVersion>3.0</USBHostControllerVersion><USBConnectionRoute>USB#ROOT_HUB30#4&36e5125b&0&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} + VID_2266&PID_0007(6)</USBConnectionRoute></ChronosDeviceInfo>,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-09-10T07:35:26Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">4758239594</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-09-10T07:35:26Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",MarcusMB3_ABB-12-1,59.941,1.0.0.93,1,465278526,Professional,2.0.10.356,2.0.10.356,09-10-2021,10-9-2021 07:35:27,09:35:27,2.0.10.252,3,NULL,NULL,NULL,NULL,test_stream_tisoti_6reps_15sec_ch2.wav,Right,NULL,NULL,NULL,{LEFTARROW},6670,{-LEFTARROW},8174,{LEFTARROW},8670,{-LEFTARROW},9030,{LEFTARROW},10526,{-LEFTARROW},17302,4,2000,{-LEFTARROW},6656,0,484,0,1488,0,2005,15000,{LEFTARROW},0,1502,0,349,0,6766,NULL,1,15000,TestProc1,NULL,NULL,0,TestList1,2,1,1,NULL,NULL,NULL,NULL,NULL,NULL,1,1,1,1,NULL,NULL,NULL,,{-UPARROW},596,{UPARROW},5284,{-UPARROW},6708,{UPARROW},7172,120000,588,4670,0,456,2000,0,0,1410,0,2008,AttentionProc,AttenList1
MarcusMB3_ABB,12,1,<ChronosDeviceInfo><FriendlyName>MyChronos</FriendlyName><DeviceIndex>1</DeviceIndex><SerialNumber>CHR-04301-1201</SerialNumber><EBNVersion>1.0.3.36</EBNVersion><FirmwareVersion>1.33</FirmwareVersion><APIVersion>1.33</APIVersion><USBHostControllerVersion>3.0</USBHostControllerVersion><USBConnectionRoute>USB#ROOT_HUB30#4&36e5125b&0&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} + VID_2266&PID_0007(6)</USBConnectionRoute></ChronosDeviceInfo>,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-09-10T07:35:26Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">4758239594</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-09-10T07:35:26Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",MarcusMB3_ABB-12-1,59.941,1.0.0.93,1,465278526,Professional,2.0.10.356,2.0.10.356,09-10-2021,10-9-2021 07:35:27,09:35:27,2.0.10.252,4,NULL,NULL,NULL,NULL,test_stream_lonini_6reps_15sec_ch2.wav,Right,NULL,NULL,NULL,{LEFTARROW},1312,{-LEFTARROW},8920,{LEFTARROW},10432,{-LEFTARROW},11488,{LEFTARROW},12576,{-LEFTARROW},13824,4,2000,{-LEFTARROW},1306,0,1497,0,1083,0,2004,15000,{LEFTARROW},0,7598,0,1044,0,1232,NULL,1,15000,TestProc1,NULL,NULL,0,TestList1,3,1,2,NULL,NULL,NULL,NULL,NULL,NULL,1,1,2,2,NULL,NULL,NULL,,{UPARROW},6404,{-UPARROW},6724,{UPARROW},9796,{-LEFTARROW},11488,120000,6397,0,3051,0,2000,0,305,0,2010,0,AttentionProc,AttenList1
MarcusMB3_ABB,12,1,<ChronosDeviceInfo><FriendlyName>MyChronos</FriendlyName><DeviceIndex>1</DeviceIndex><SerialNumber>CHR-04301-1201</SerialNumber><EBNVersion>1.0.3.36</EBNVersion><FirmwareVersion>1.33</FirmwareVersion><APIVersion>1.33</APIVersion><USBHostControllerVersion>3.0</USBHostControllerVersion><USBConnectionRoute>USB#ROOT_HUB30#4&36e5125b&0&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} + VID_2266&PID_0007(6)</USBConnectionRoute></ChronosDeviceInfo>,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-09-10T07:35:26Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">4758239594</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-09-10T07:35:26Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",MarcusMB3_ABB-12-1,59.941,1.0.0.93,1,465278526,Professional,2.0.10.356,2.0.10.356,09-10-2021,10-9-2021 07:35:27,09:35:27,2.0.10.252,5,NULL,NULL,NULL,NULL,test_stream_tisoso_6reps_15sec_ch1.wav,Left,NULL,NULL,NULL,{RIGHTARROW},4079,{-RIGHTARROW},6607,{RIGHTARROW},8151,{-RIGHTARROW},9975,NULL,NULL,NULL,NULL,1,2000,{-RIGHTARROW},4067,0,1528,0,2004,NULL,NULL,15000,{RIGHTARROW},0,2524,0,1812,NULL,NULL,NULL,1,15000,TestProc1,NULL,0,NULL,TestList1,4,1,3,NULL,NULL,NULL,NULL,NULL,NULL,1,1,3,3,NULL,NULL,NULL,,{UPARROW},2524,{-UPARROW},3428,{UPARROW},4156,{-RIGHTARROW},9975,120000,2514,0,709,0,2000,0,893,0,2000,NULL,AttentionProc,AttenList1
MarcusMB3_ABB,12,1,<ChronosDeviceInfo><FriendlyName>MyChronos</FriendlyName><DeviceIndex>1</DeviceIndex><SerialNumber>CHR-04301-1201</SerialNumber><EBNVersion>1.0.3.36</EBNVersion><FirmwareVersion>1.33</FirmwareVersion><APIVersion>1.33</APIVersion><USBHostControllerVersion>3.0</USBHostControllerVersion><USBConnectionRoute>USB#ROOT_HUB30#4&36e5125b&0&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} + VID_2266&PID_0007(6)</USBConnectionRoute></ChronosDeviceInfo>,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-09-10T07:35:26Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">4758239594</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-09-10T07:35:26Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",MarcusMB3_ABB-12-1,59.941,1.0.0.93,1,465278526,Professional,2.0.10.356,2.0.10.356,09-10-2021,10-9-2021 07:35:27,09:35:27,2.0.10.252,6,NULL,NULL,NULL,NULL,test_stream_lonilo_6reps_15sec_ch1.wav,Left,NULL,NULL,NULL,{RIGHTARROW},3692,{-RIGHTARROW},4188,{RIGHTARROW},4564,{-RIGHTARROW},6628,NULL,NULL,NULL,NULL,1,2000,{-RIGHTARROW},3680,0,369,0,2004,NULL,NULL,15000,{RIGHTARROW},0,485,0,2051,NULL,NULL,NULL,1,15000,TestProc1,NULL,0,NULL,TestList1,1,1,4,NULL,NULL,NULL,NULL,NULL,NULL,1,1,4,4,NULL,NULL,NULL,,{UPARROW},6321,{-RIGHTARROW},4188,{RIGHTARROW},4564,{-RIGHTARROW},6628,120000,6316,0,369,0,2000,0,2000,0,2051,NULL,AttentionProc,AttenList1
MarcusMB3_ABB,12,1,<ChronosDeviceInfo><FriendlyName>MyChronos</FriendlyName><DeviceIndex>1</DeviceIndex><SerialNumber>CHR-04301-1201</SerialNumber><EBNVersion>1.0.3.36</EBNVersion><FirmwareVersion>1.33</FirmwareVersion><APIVersion>1.33</APIVersion><USBHostControllerVersion>3.0</USBHostControllerVersion><USBConnectionRoute>USB#ROOT_HUB30#4&36e5125b&0&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} + VID_2266&PID_0007(6)</USBConnectionRoute></ChronosDeviceInfo>,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-09-10T07:35:26Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">4758239594</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-09-10T07:35:26Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",MarcusMB3_ABB-12-1,59.941,1.0.0.93,1,465278526,Professional,2.0.10.356,2.0.10.356,09-10-2021,10-9-2021 07:35:27,09:35:27,2.0.10.252,7,Left,NULL,NULL,NULL,test_stream_tisoso_6reps_15sec_ch1.wav,NULL,NULL,NULL,NULL,{RIGHTARROW},4906,{-RIGHTARROW},8378,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2000,{-RIGHTARROW},4897,0,2007,NULL,NULL,NULL,NULL,15000,{RIGHTARROW},0,3461,NULL,NULL,NULL,NULL,NULL,1,15000,TestProc2,0,NULL,NULL,TestList2,NULL,NULL,NULL,4,1,1,NULL,NULL,NULL,1,NULL,NULL,NULL,1,1,1,,{UPARROW},1231,{-RIGHTARROW},8378,NULL,NULL,NULL,NULL,120000,1227,0,2007,NULL,2000,0,2003,NULL,NULL,NULL,AttentionProc,AttenList2
