STRING,INTEGER,INTEGER,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,INTEGER,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,INTEGER,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING
EXPNAME,SUBJECT,SESSION,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,LOG_LEVEL,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,LOG_LEVEL,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE,VARIABLE
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
ExperimentName,Subject,Session,Chronos.BoxInfo,Clock.Information,DataFile.Basename,Display.RefreshRate,ExperimentVersion,Group,RandomSeed,RuntimeCapabilities,RuntimeVersion,RuntimeVersionExpected,SessionDate,SessionStartDateTimeUtc,SessionTime,StudioVersion,Block,Arrow,AttenList,AttenList.Cycle,AttenList.Sample,AudioFile[Block],Babys_side,FamList,FamList.Cycle,FamList.Sample,KeyResp10RESP[Block],KeyResp10RT[Block],KeyResp11RESP[Block],KeyResp11RT[Block],KeyResp1RESP[Block],KeyResp1RT[Block],KeyResp2RESP[Block],KeyResp2RT[Block],KeyResp3RESP[Block],KeyResp3RT[Block],KeyResp4RESP[Block],KeyResp4RT[Block],KeyResp5RESP[Block],KeyResp5RT[Block],KeyResp6RESP[Block],KeyResp6RT[Block],KeyResp7RESP[Block],KeyResp7RT[Block],KeyResp8RESP[Block],KeyResp8RT[Block],KeyResp9RESP[Block],KeyResp9RT[Block],LedNummer,LookAwayCrit[Block],LookAwayResp,LookAwayTime1[Block],LookAwayTime10[Block],LookAwayTime11[Block],LookAwayTime2[Block],LookAwayTime3[Block],LookAwayTime4[Block],LookAwayTime5[Block],LookAwayTime6[Block],LookAwayTime7[Block],LookAwayTime8[Block],LookAwayTime9[Block],LookCrit[Block],LookResp,LookTime1[Block],LookTime10[Block],LookTime11[Block],LookTime2[Block],LookTime3[Block],LookTime4[Block],LookTime5[Block],LookTime6[Block],LookTime7[Block],LookTime8[Block],LookTime9[Block],MaxFamTime,MaxRepeats,MinLength,Procedure[Block],repeats10,repeats12,repeats2,repeats3,repeats4,repeats5,repeats6,repeats7,repeats9,Running[Block],TestList1,TestList1.Cycle,TestList1.Sample,TestList2,TestList2.Cycle,TestList2.Sample,TestList3,TestList3.Cycle,TestList3.Sample,Trial,AttenList1,AttenList1.Cycle,AttenList1.Sample,AttenList2,AttenList2.Cycle,AttenList2.Sample,AudioFile[Trial],KeyResp10RESP[Trial],KeyResp10RT[Trial],KeyResp11RESP[Trial],KeyResp11RT[Trial],KeyResp12RESP,KeyResp12RT,KeyResp13RESP,KeyResp13RT,KeyResp14RESP,KeyResp14RT,KeyResp15RESP,KeyResp15RT,KeyResp1RESP[Trial],KeyResp1RT[Trial],KeyResp2RESP[Trial],KeyResp2RT[Trial],KeyResp3RESP[Trial],KeyResp3RT[Trial],KeyResp4RESP[Trial],KeyResp4RT[Trial],KeyResp5RESP[Trial],KeyResp5RT[Trial],KeyResp6RESP[Trial],KeyResp6RT[Trial],KeyResp7RESP[Trial],KeyResp7RT[Trial],KeyResp8RESP[Trial],KeyResp8RT[Trial],KeyResp9RESP[Trial],KeyResp9RT[Trial],LookAwayCrit[Trial],LookAwayTime1[Trial],LookAwayTime10[Trial],LookAwayTime11[Trial],LookAwayTime12,LookAwayTime13,LookAwayTime14,LookAwayTime15,LookAwayTime2[Trial],LookAwayTime3[Trial],LookAwayTime4[Trial],LookAwayTime5[Trial],LookAwayTime6[Trial],LookAwayTime7[Trial],LookAwayTime8[Trial],LookAwayTime9[Trial],LookCrit[Trial],LookTime1[Trial],LookTime10[Trial],LookTime11[Trial],LookTime12,LookTime13,LookTime14,LookTime15,LookTime16,LookTime2[Trial],LookTime3[Trial],LookTime4[Trial],LookTime5[Trial],LookTime6[Trial],LookTime7[Trial],LookTime8[Trial],LookTime9[Trial],Procedure[Trial],Running[Trial]
MarcusMB3_ABB,6,1,<ChronosDeviceInfo><FriendlyName>MyChronos</FriendlyName><DeviceIndex>1</DeviceIndex><SerialNumber>CHR-04301-1201</SerialNumber><EBNVersion>1.0.3.36</EBNVersion><FirmwareVersion>1.33</FirmwareVersion><APIVersion>1.33</APIVersion><USBHostControllerVersion>3.0</USBHostControllerVersion><USBConnectionRoute>USB#ROOT_HUB30#4&36e5125b&0&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} + VID_2266&PID_0007(6)</USBConnectionRoute></ChronosDeviceInfo>,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-25T12:18:54Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">9129042434</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-25T12:18:54Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",MarcusMB3_ABB-6-1,59.942,1.0.0.90,1,541125909,Professional,2.0.10.356,2.0.10.356,08-25-2021,25-8-2021 12:18:54,14:18:54,2.0.10.252,1,NULL,1,1,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,{UPARROW},7238,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,120000,NULL,7221,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2000,NULL,0,NULL,NULL,2008,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AttentionProc,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AttenList,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MarcusMB3_ABB,6,1,<ChronosDeviceInfo><FriendlyName>MyChronos</FriendlyName><DeviceIndex>1</DeviceIndex><SerialNumber>CHR-04301-1201</SerialNumber><EBNVersion>1.0.3.36</EBNVersion><FirmwareVersion>1.33</FirmwareVersion><APIVersion>1.33</APIVersion><USBHostControllerVersion>3.0</USBHostControllerVersion><USBConnectionRoute>USB#ROOT_HUB30#4&36e5125b&0&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} + VID_2266&PID_0007(6)</USBConnectionRoute></ChronosDeviceInfo>,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-25T12:18:54Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">9129042434</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-25T12:18:54Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",MarcusMB3_ABB-6-1,59.942,1.0.0.90,1,541125909,Professional,2.0.10.356,2.0.10.356,08-25-2021,25-8-2021 12:18:54,14:18:54,2.0.10.252,2,NULL,NULL,NULL,NULL,fam_abb_5.wav,NULL,6,2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,116300,NULL,NULL,FamProc,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FamList,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MarcusMB3_ABB,6,1,<ChronosDeviceInfo><FriendlyName>MyChronos</FriendlyName><DeviceIndex>1</DeviceIndex><SerialNumber>CHR-04301-1201</SerialNumber><EBNVersion>1.0.3.36</EBNVersion><FirmwareVersion>1.33</FirmwareVersion><APIVersion>1.33</APIVersion><USBHostControllerVersion>3.0</USBHostControllerVersion><USBConnectionRoute>USB#ROOT_HUB30#4&36e5125b&0&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} + VID_2266&PID_0007(6)</USBConnectionRoute></ChronosDeviceInfo>,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-25T12:18:54Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">9129042434</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-25T12:18:54Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",MarcusMB3_ABB-6-1,59.942,1.0.0.90,1,541125909,Professional,2.0.10.356,2.0.10.356,08-25-2021,25-8-2021 12:18:54,14:18:54,2.0.10.252,3,NULL,NULL,NULL,NULL,test_stream_lonilo_6reps_15sec_ch1.wav,Left,NULL,NULL,NULL,NULL,NULL,NULL,NULL,{RIGHTARROW},2738,{-RIGHTARROW},12690,{RIGHTARROW},13450,{-RIGHTARROW},16626,{RIGHTARROW},17498,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2000,{-RIGHTARROW},2726,NULL,NULL,0,755,0,861,NULL,NULL,NULL,NULL,15000,{RIGHTARROW},0,NULL,NULL,9939,0,3169,0,NULL,NULL,NULL,NULL,NULL,1,15000,TestProc1,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,TestList1,1,1,1,NULL,NULL,NULL,NULL,NULL,NULL,1,1,1,1,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,{-UPARROW},339,{UPARROW},1603,{RIGHTARROW},13450,{-RIGHTARROW},16626,{RIGHTARROW},17498,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,120000,334,NULL,NULL,NULL,NULL,NULL,NULL,1247,755,0,861,NULL,NULL,NULL,NULL,2000,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2009,3169,0,NULL,NULL,NULL,NULL,AttentionProc,AttenList1
MarcusMB3_ABB,6,1,<ChronosDeviceInfo><FriendlyName>MyChronos</FriendlyName><DeviceIndex>1</DeviceIndex><SerialNumber>CHR-04301-1201</SerialNumber><EBNVersion>1.0.3.36</EBNVersion><FirmwareVersion>1.33</FirmwareVersion><APIVersion>1.33</APIVersion><USBHostControllerVersion>3.0</USBHostControllerVersion><USBConnectionRoute>USB#ROOT_HUB30#4&36e5125b&0&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} + VID_2266&PID_0007(6)</USBConnectionRoute></ChronosDeviceInfo>,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-25T12:18:54Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">9129042434</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-25T12:18:54Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",MarcusMB3_ABB-6-1,59.942,1.0.0.90,1,541125909,Professional,2.0.10.356,2.0.10.356,08-25-2021,25-8-2021 12:18:54,14:18:54,2.0.10.252,4,NULL,NULL,NULL,NULL,test_stream_tisoso_6reps_15sec_ch1.wav,Left,NULL,NULL,NULL,NULL,NULL,NULL,NULL,{RIGHTARROW},843,{-RIGHTARROW},4379,{RIGHTARROW},5291,{-RIGHTARROW},8083,{RIGHTARROW},8979,{-RIGHTARROW},15819,NULL,NULL,NULL,NULL,NULL,NULL,1,2000,{-RIGHTARROW},833,NULL,NULL,0,908,0,887,0,NULL,NULL,NULL,15000,{RIGHTARROW},0,NULL,NULL,3525,0,2778,0,6829,NULL,NULL,NULL,NULL,1,15000,TestProc1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,TestList1,4,1,2,NULL,NULL,NULL,NULL,NULL,NULL,1,1,2,2,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,{UPARROW},1518,{-RIGHTARROW},4379,{RIGHTARROW},5291,{-RIGHTARROW},8083,{RIGHTARROW},8979,{-RIGHTARROW},15819,NULL,NULL,NULL,NULL,NULL,NULL,120000,1512,NULL,NULL,NULL,NULL,NULL,NULL,0,908,0,887,0,NULL,NULL,NULL,2000,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2000,0,2778,0,6829,NULL,NULL,NULL,AttentionProc,AttenList1
MarcusMB3_ABB,6,1,<ChronosDeviceInfo><FriendlyName>MyChronos</FriendlyName><DeviceIndex>1</DeviceIndex><SerialNumber>CHR-04301-1201</SerialNumber><EBNVersion>1.0.3.36</EBNVersion><FirmwareVersion>1.33</FirmwareVersion><APIVersion>1.33</APIVersion><USBHostControllerVersion>3.0</USBHostControllerVersion><USBConnectionRoute>USB#ROOT_HUB30#4&36e5125b&0&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} + VID_2266&PID_0007(6)</USBConnectionRoute></ChronosDeviceInfo>,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-25T12:18:54Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">9129042434</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-25T12:18:54Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",MarcusMB3_ABB-6-1,59.942,1.0.0.90,1,541125909,Professional,2.0.10.356,2.0.10.356,08-25-2021,25-8-2021 12:18:54,14:18:54,2.0.10.252,5,NULL,NULL,NULL,NULL,test_stream_lonini_6reps_15sec_ch2.wav,Right,NULL,NULL,NULL,NULL,NULL,NULL,NULL,{LEFTARROW},1735,{-LEFTARROW},5775,{LEFTARROW},7167,{-LEFTARROW},9183,{LEFTARROW},9663,{-LEFTARROW},10351,{LEFTARROW},10775,{-LEFTARROW},16295,NULL,NULL,4,2000,{-LEFTARROW},1729,NULL,NULL,0,1383,0,463,0,412,0,NULL,15000,{LEFTARROW},0,NULL,NULL,4023,0,2010,0,682,0,5509,NULL,NULL,1,15000,TestProc1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,TestList1,3,1,3,NULL,NULL,NULL,NULL,NULL,NULL,1,1,3,3,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,{UPARROW},1837,{-LEFTARROW},5775,{LEFTARROW},7167,{-LEFTARROW},9183,{LEFTARROW},9663,{-LEFTARROW},10351,{LEFTARROW},10775,{-LEFTARROW},16295,NULL,NULL,120000,1825,NULL,NULL,NULL,NULL,NULL,NULL,0,1383,0,463,0,412,0,NULL,2000,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2002,0,2010,0,682,0,5509,NULL,AttentionProc,AttenList1
MarcusMB3_ABB,6,1,<ChronosDeviceInfo><FriendlyName>MyChronos</FriendlyName><DeviceIndex>1</DeviceIndex><SerialNumber>CHR-04301-1201</SerialNumber><EBNVersion>1.0.3.36</EBNVersion><FirmwareVersion>1.33</FirmwareVersion><APIVersion>1.33</APIVersion><USBHostControllerVersion>3.0</USBHostControllerVersion><USBConnectionRoute>USB#ROOT_HUB30#4&36e5125b&0&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} + VID_2266&PID_0007(6)</USBConnectionRoute></ChronosDeviceInfo>,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-25T12:18:54Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">9129042434</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-25T12:18:54Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",MarcusMB3_ABB-6-1,59.942,1.0.0.90,1,541125909,Professional,2.0.10.356,2.0.10.356,08-25-2021,25-8-2021 12:18:54,14:18:54,2.0.10.252,6,NULL,NULL,NULL,NULL,test_stream_tisoti_6reps_15sec_ch2.wav,Right,NULL,NULL,NULL,NULL,NULL,NULL,NULL,{LEFTARROW},3305,{-LEFTARROW},7513,{LEFTARROW},8753,{-LEFTARROW},14497,{LEFTARROW},15761,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,2000,{-LEFTARROW},3298,NULL,NULL,0,1229,0,1249,NULL,NULL,NULL,NULL,15000,{LEFTARROW},0,NULL,NULL,4198,0,5738,0,NULL,NULL,NULL,NULL,NULL,1,15000,TestProc1,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,TestList1,2,1,4,NULL,NULL,NULL,NULL,NULL,NULL,1,1,4,4,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,{UPARROW},1372,{-UPARROW},2772,{UPARROW},3276,{-UPARROW},3996,{UPARROW},4844,{-UPARROW},6060,{UPARROW},7420,{-UPARROW},8860,{UPARROW},9956,120000,1360,NULL,NULL,NULL,NULL,NULL,NULL,0,487,0,832,0,1349,0,1084,2000,0,2000,NULL,NULL,NULL,NULL,NULL,NULL,1392,0,711,0,1199,0,1421,0,AttentionProc,AttenList1
MarcusMB3_ABB,6,1,<ChronosDeviceInfo><FriendlyName>MyChronos</FriendlyName><DeviceIndex>1</DeviceIndex><SerialNumber>CHR-04301-1201</SerialNumber><EBNVersion>1.0.3.36</EBNVersion><FirmwareVersion>1.33</FirmwareVersion><APIVersion>1.33</APIVersion><USBHostControllerVersion>3.0</USBHostControllerVersion><USBConnectionRoute>USB#ROOT_HUB30#4&36e5125b&0&0#{f18a0e88-c30c-11d0-8815-00a0c906bed8} + VID_2266&PID_0007(6)</USBConnectionRoute></ChronosDeviceInfo>,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-25T12:18:54Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">9129042434</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-25T12:18:54Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",MarcusMB3_ABB-6-1,59.942,1.0.0.90,1,541125909,Professional,2.0.10.356,2.0.10.356,08-25-2021,25-8-2021 12:18:54,14:18:54,2.0.10.252,7,Left,NULL,NULL,NULL,test_stream_lonini_6reps_15sec_ch1.wav,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,{RIGHTARROW},1260,{-RIGHTARROW},5835,{RIGHTARROW},7308,{-RIGHTARROW},8099,{RIGHTARROW},9099,{-RIGHTARROW},13123,{RIGHTARROW},13699,{-RIGHTARROW},14187,{RIGHTARROW},14739,1,2000,{-RIGHTARROW},1250,NULL,NULL,0,1459,0,995,0,567,0,535,15000,{RIGHTARROW},0,NULL,NULL,4570,0,778,0,4008,0,484,0,NULL,1,15000,TestProc2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TestList2,NULL,NULL,NULL,3,1,1,NULL,NULL,NULL,1,NULL,NULL,NULL,1,1,1,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,{UPARROW},1622,{-UPARROW},2886,{UPARROW},3854,{-RIGHTARROW},8099,{RIGHTARROW},9099,{-RIGHTARROW},13123,{RIGHTARROW},13699,{-RIGHTARROW},14187,{RIGHTARROW},14739,120000,1613,NULL,NULL,NULL,NULL,NULL,NULL,0,953,0,995,0,567,0,535,2000,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1249,0,2002,0,4008,0,484,0,AttentionProc,AttenList2
